nspname|proname|args|prosecdef|cfg|anon_x|auth_x|svc_x
public|dp_convocacao_atualizar_ocorrencia|p_ocorrencia_id uuid, p_expected_updated_at timestamp with time zone, p_cargo_id uuid, p_data date, p_necessidade_entrada time without time zone, p_necessidade_saida time without time zone, p_necessidade_termina_no_dia_seguinte boolean, p_turno_referencia_id uuid, p_horario_modo text, p_entrada time without time zone, p_saida time without time zone, p_intervalo_minutos integer, p_termina_no_dia_seguinte boolean, p_carga_prevista_horas numeric, p_vagas integer, p_condicoes_comuns jsonb, p_colaborador_alvo_id uuid|t|search_path=public|f|t|t
public|dp_convocacao_avaliar_candidato|_colaborador_id uuid, _ocorrencia_id uuid, _ignorar_convocacao_id uuid, _pendente_bloqueia boolean|t|search_path=public|f|t|t
public|dp_convocacao_avaliar_parcial|p_convocacao_id uuid|t|search_path=public|f|t|t
public|dp_convocacao_bloqueia_resposta_antecipada||t|search_path=public|f|f|t
public|dp_convocacao_cancelar|p_id uuid, p_motivo text|t|search_path=public|f|t|t
public|dp_convocacao_cancelar_ocorrencia_rascunho|p_ocorrencia_id uuid, p_expected_updated_at timestamp with time zone|t|search_path=public|f|t|t
public|dp_convocacao_criar|p_colaborador uuid, p_data date, p_entrada time without time zone, p_saida time without time zone, p_intervalo_minutos integer, p_termina_no_dia_seguinte boolean, p_carga_prevista_horas numeric, p_unidade uuid, p_turno uuid, p_prazo_resposta timestamp with time zone, p_observacao text|t|search_path=public|f|t|t
public|dp_convocacao_criar_grupo|p_grupo_id uuid, p_unidade_id uuid, p_competencia text, p_modalidade text, p_titulo text, p_observacao text|t|search_path=public|f|t|t
public|dp_convocacao_criar_ocorrencia|p_ocorrencia_id uuid, p_grupo_id uuid, p_cargo_id uuid, p_data date, p_necessidade_entrada time without time zone, p_necessidade_saida time without time zone, p_necessidade_termina_no_dia_seguinte boolean, p_turno_referencia_id uuid, p_horario_modo text, p_entrada time without time zone, p_saida time without time zone, p_intervalo_minutos integer, p_termina_no_dia_seguinte boolean, p_carga_prevista_horas numeric, p_vagas integer, p_condicoes_comuns jsonb, p_colaborador_alvo_id uuid|t|search_path=public|f|t|t
public|dp_convocacao_decidir_parcial|p_convocacao_id uuid, p_acao text, p_motivo text, p_prazo timestamp with time zone, p_colaborador_ids uuid[], p_confirmado boolean|t|search_path=public|f|t|t
public|dp_convocacao_definir_destinatarios|p_grupo_id uuid, p_colaboradores uuid[], p_expected_updated_at timestamp with time zone, p_niveis jsonb, p_intervalo_niveis_horas integer|t|search_path=public|f|t|t
public|dp_convocacao_definir_override_destinatario|p_ocorrencia_id uuid, p_colaborador_id uuid, p_entrada time without time zone, p_saida time without time zone, p_intervalo_minutos integer, p_termina_no_dia_seguinte boolean, p_expected_updated_at timestamp with time zone|t|search_path=public|f|t|t
public|dp_convocacao_excluir_grupo|p_grupo_id uuid, p_expected_updated_at timestamp with time zone|t|search_path=public|f|t|t
public|dp_convocacao_exige_admin|_company_id uuid|t|search_path=public|f|t|t
public|dp_convocacao_guard||t|search_path=public|f|f|t
public|dp_convocacao_horario_efetivo|_ocorrencia_id uuid, _colaborador_id uuid, _aval jsonb|t|search_path=public|f|t|t
public|dp_convocacao_jornada_na_data|_colaborador_id uuid, _data date|t|search_path=public|f|t|t
public|dp_convocacao_legacy_self_columns||t|search_path=public|f|f|t
public|dp_convocacao_log_evento|_company_id uuid, _grupo_id uuid, _ocorrencia_id uuid, _tipo text, _payload jsonb|t|search_path=public|f|t|t
public|dp_convocacao_log_evento_trabalhador|_company_id uuid, _grupo_id uuid, _ocorrencia_id uuid, _tipo text, _payload jsonb|t|search_path=public|f|t|t
public|dp_convocacao_materializar_encerramentos|p_limit integer|t|search_path=public|f|t|t
public|dp_convocacao_minhas_ofertas||t|search_path=public|f|t|t
public|dp_convocacao_necessidade_sugerida|_company_id uuid, _unidade_id uuid, _cargo_id uuid, _data date|t|search_path=public|f|t|t
public|dp_convocacao_parciais_pendentes|p_company_id uuid|t|search_path=public|f|t|t
public|dp_convocacao_pre_avaliar_grupo|p_grupo_id uuid|t|search_path=public|f|t|t
public|dp_convocacao_publicar_grupo|p_grupo_id uuid, p_expected_updated_at timestamp with time zone, p_confirmacoes jsonb|t|search_path=public|f|t|t
public|dp_convocacao_registrar_visualizacao|p_convocacao_id uuid|t|search_path=public|f|t|t
public|dp_convocacao_remuneracao_snapshot|_colaborador_id uuid, _carga_prevista_horas numeric|t|search_path=public|f|t|t
public|dp_convocacao_responder_oferta|p_convocacao_id uuid, p_aceito boolean, p_motivo text, p_parcial_entrada time without time zone, p_parcial_saida time without time zone, p_parcial_termina_no_dia_seguinte boolean, p_parcial_observacao text, p_atraso_justificativa text|t|search_path=public|f|t|t
public|dp_convocacao_responder_oferta|p_convocacao_id uuid, p_aceito boolean, p_motivo text, p_parcial_entrada time without time zone, p_parcial_saida time without time zone, p_parcial_termina_no_dia_seguinte boolean, p_parcial_observacao text|t|search_path=public|f|t|t
public|dp_convocacao_revisar_ocorrencia|p_ocorrencia_id uuid, p_sucessora_id uuid, p_cargo_id uuid, p_data date, p_necessidade_entrada time without time zone, p_necessidade_saida time without time zone, p_necessidade_termina_no_dia_seguinte boolean, p_turno_referencia_id uuid, p_horario_modo text, p_entrada time without time zone, p_saida time without time zone, p_intervalo_minutos integer, p_termina_no_dia_seguinte boolean, p_carga_prevista_horas numeric, p_vagas integer, p_condicoes_comuns jsonb, p_motivo text|t|search_path=public|f|t|t
public|dp_convocacao_salvar_config|p_company_id uuid, p_unidade_id uuid, p_antecedencia_minima_dias integer, p_prazo_resposta_dias_uteis integer, p_aprovacao_modo text, p_sub_intermitente_por_intermitente boolean, p_sub_intermitente_por_freelancer boolean, p_sub_freelancer_por_intermitente boolean, p_sub_freelancer_por_freelancer boolean, p_sub_fixo_em_folga_dominical boolean, p_reabre_vaga_em_desistencia boolean, p_autonomia_colaborador_desistir boolean, p_permite_oferta_aberta boolean, p_exige_justificativa_excecao boolean, p_disponibilidade_janela_abre_dia integer, p_disponibilidade_janela_fecha_dia integer, p_disponibilidade_reserva_folga boolean, p_disponibilidade_lembrete_dias integer, p_expected_updated_at timestamp with time zone|t|search_path=public|f|t|t
public|dp_convocacao_sync_escala||t|search_path=public|f|f|t
public|dp_convocacao_timezone|_company_id uuid, _unidade_id uuid|t|search_path=public|f|t|t
public|dp_dependentes_guard||t|search_path=public|f|f|t
public|dp_dependentes_sync_irrf||t|search_path=public|f|f|t
public|dp_desligar_colaborador|p_colaborador_id uuid, p_data_desligamento date, p_motivo dp_motivo_desligamento, p_observacao text, p_elegibilidade dp_elegibilidade_recontratacao|t|search_path=public|f|t|t
public|dp_dias_fixos_folga|_colaborador uuid, _data date|t|search_path=public|f|f|t
public|dp_disponibilidade_janela|_company_id uuid, _unidade_id uuid, _competencia date|t|search_path=public|f|t|t
public|dp_disponibilidade_lembretes_dia||t|search_path=public|f|f|t
public|dp_disponibilidade_painel|_company_id uuid, _unidade_id uuid, _competencia date|t|search_path=public|f|t|t
public|dp_documento_arquivar|_documento_id uuid, _motivo text|t|search_path=public|f|t|t
public|dp_documento_arquivo|_documento_id uuid, _variante text|t|search_path=public|f|t|t
public|dp_documento_excluir_definitivo|_documento_id uuid, _motivo text|t|search_path=public|f|t|t
public|dp_documento_notificar||t|search_path=public|f|f|t
public|dp_documento_requisitos_seed|_company_id uuid|t|search_path=public|f|t|t
public|dp_documento_requisitos_seed_on_company||t|search_path=public|f|f|t
public|dp_documento_versao_publicar|_novo_id uuid, _anterior_id uuid, _motivo text|t|search_path=public|f|t|t
public|dp_editar_desligamento|p_colaborador_id uuid, p_data_desligamento date, p_motivo dp_motivo_desligamento, p_observacao text, p_elegibilidade dp_elegibilidade_recontratacao|t|search_path=public|f|t|t
public|dp_escala_auto_gerar|p_company_id uuid, p_mes date|t|search_path=public|f|f|t
public|dp_escala_auto_gerar_todas||t|search_path=public|f|f|t
public|dp_escala_definir_setor_dia|p_colaborador_id uuid, p_data date, p_acao text, p_setor_id uuid, p_motivo text|t|search_path=public|f|t|t
public|dp_escala_item_validar_setor||t|search_path=public|f|f|t
public|dp_escala_publicar|p_competencia text, p_unidade_id uuid, p_escala_id uuid|t|search_path=public|f|t|t
public|dp_escala_reabrir|p_escala_id uuid|t|search_path=public|f|t|t
public|dp_excluir_colaborador|p_colaborador_id uuid, p_motivo text|t|search_path=public|f|t|t
public|dp_expirar_trocas||t|search_path=public|f|t|t
public|dp_feriado_validar||t|search_path=public|f|f|t
